selection_reason,is_aml_paper,arxiv_id,found_in_artifacts,num_artifacts,paper_title,paper_authors,paper_pub_date,first_adoption_date,first_adoption_artifact,all_adoptions,adoption_lag_months,G1,G2,G3,G4,G5,G6,T1,T2,Q1
2+ artifacts,YES,1312.6199,"CleverHans, TextAttack",2,Intriguing properties of neural networks,Christian Szegedy; Wojciech Zaremba; Ilya Sutskever; Joan Bruna; Dumitru Erhan...,2013-12-21,2018-01-25,CleverHans,CleverHans:2018-01-25; TextAttack:2020-08-30,49.1,Attack,Evasion,Vision,ML,No,At-pub,White,Yes,No
2+ artifacts,YES,1412.6572,"CleverHans, IBM ART",2,Explaining and Harnessing Adversarial Examples,Ian J. Goodfellow; Jonathon Shlens; Christian Szegedy,2014-12-20,2016-09-19,CleverHans,CleverHans:2016-09-19; IBM ART:2017-06-07,21.0,Attack,Evasion,Vision,ML,Yes,At-pub,White,No,No
2+ artifacts,YES,1507.00677,"CleverHans, Foolbox, IBM ART",3,Distributional Smoothing with Virtual Adversarial Training,Takeru Miyato; Shin-ichi Maeda; Masanori Koyama; Ken Nakae; Shin Ishii,2015-07-02,2017-04-27,CleverHans,CleverHans:2017-04-27; IBM ART:2017-06-12; Foolbox:2019-10-17,21.8,Both,Evasion,Vision,ML,Yes,At-pub,White,Yes,No
2+ artifacts,YES,1511.04599,"CleverHans, Foolbox, IBM ART",3,DeepFool: a simple and accurate method to fool deep neural networks,Seyed-Mohsen Moosavi-Dezfooli; Alhussein Fawzi; Pascal Frossard,2015-11-14,2017-05-30,IBM ART,IBM ART:2017-05-30; Foolbox:2017-06-07; CleverHans:2017-09-12,18.5,Attack,Evasion,Vision,ML,Yes,At-pub,White,Yes,No
2+ artifacts,YES,1511.05122,"CleverHans, IBM ART",2,Adversarial Manipulation of Deep Representations,Sara Sabour; Yanshuai Cao; Fartash Faghri; David J. Fleet,2015-11-16,2017-06-08,CleverHans,CleverHans:2017-06-08; IBM ART:2020-04-10,18.7,Attack/Evaluation,Evasion,Vision,ML,No,Never,White,Yes,No
2+ artifacts,YES,1511.07528,"CleverHans, IBM ART",2,The Limitations of Deep Learning in Adversarial Settings,Nicolas Papernot; Patrick McDaniel; Somesh Jha; Matt Fredrikson; Z. Berkay Celik...,2015-11-24,2016-11-21,CleverHans,CleverHans:2016-11-21; IBM ART:2017-06-12,11.9,Attack/Defense/Evaluation,Evasion,Vision,Security,No,Never,White,Yes,No
2+ artifacts,YES,1607.02533,"CleverHans, Foolbox, IBM ART",3,Adversarial examples in the physical world,Alexey Kurakin; Ian Goodfellow; Samy Bengio,2016-07-08,2017-02-01,CleverHans,CleverHans:2017-02-01; Foolbox:2018-06-26; IBM ART:2018-06-28,6.8,Attack/Evaluation,Evasion,Vision,ML,No,At-pub,White/Black,Yes,Yes
2+ artifacts,YES,1608.04644,"CleverHans, Foolbox, IBM ART",3,Towards Evaluating the Robustness of Neural Networks,Nicholas Carlini; David Wagner,2016-08-16,2017-06-05,CleverHans,CleverHans:2017-06-05; IBM ART:2017-08-14; Foolbox:2018-09-26,9.6,Attack/Evaluation,Evasion,Vision,Security,Yes,At-pub,White,Yes,No
2+ artifacts,YES,1611.01236,"CleverHans, IBM ART",2,Adversarial Machine Learning at Scale,Alexey Kurakin; Ian Goodfellow; Samy Bengio,2016-11-04,2017-03-23,CleverHans,CleverHans:2017-03-23; IBM ART:2017-06-07,4.6,Attack/Defense/Evaluation,Evasion,Vision,ML,No,Never,White/Black,Yes,No
2+ artifacts,YES,1705.07204,"CleverHans, IBM ART",2,Ensemble Adversarial Training: Attacks and Defenses,Florian Tramèr; Alexey Kurakin; Nicolas Papernot; Ian Goodfellow; Dan Boneh...,2017-05-19,2017-08-24,CleverHans,CleverHans:2017-08-24; IBM ART:2018-07-09,3.2,Attack/Defense/Evaluation,Evasion,Vision,ML,Yes,At-pub,White/Black,Yes,No
2+ artifacts,YES,1706.06083,"AutoAttack, CleverHans, IBM ART, RobustBench",4,Towards Deep Learning Models Resistant to Adversarial Attacks,Aleksander Madry; Aleksandar Makelov; Ludwig Schmidt; Dimitris Tsipras; Adrian Vladu,2017-06-19,2017-09-22,CleverHans,CleverHans:2017-09-22; IBM ART:2018-09-26; AutoAttack:2020-03-17; RobustBench:2020-07-01,3.1,Attack/Defense/Evaluation,Evasion,Vision,ML,Yes,At-pub,White/Black,Yes,No
2+ artifacts,YES,1709.04114,"CleverHans, IBM ART",2,EAD: Elastic-Net Attacks to Deep Neural Networks via Adversarial Examples,Pin-Yu Chen; Yash Sharma; Huan Zhang; Jinfeng Yi; Cho-Jui Hsieh,2017-09-13,2017-09-28,CleverHans,CleverHans:2017-09-28; IBM ART:2018-12-18,0.5,Attack/Defense/Evaluation,Evasion,Vision,ML,Yes,At-pub,White/Black,Yes,No
2+ artifacts,YES,1710.06081,"CleverHans, Foolbox, IBM ART",3,Boosting Adversarial Attacks with Momentum,Yinpeng Dong; Fangzhou Liao; Tianyu Pang; Hang Su; Jun Zhu...,2017-10-17,2017-12-22,CleverHans,CleverHans:2017-12-22; Foolbox:2018-06-26; IBM ART:2022-04-20,2.2,Attack/Evaluation,Evasion,Vision,ML,Yes,At-pub,White/Black,Yes,No
2+ artifacts,YES,1710.09412,"CleverHans, IBM ART",2,mixup: Beyond Empirical Risk Minimization,Hongyi Zhang; Moustapha Cisse; Yann N. Dauphin; David Lopez-Paz,2017-10-25,2018-10-03,CleverHans,CleverHans:2018-10-03; IBM ART:2022-10-19,11.3,Defense/Evaluation,Defense,Cross,ML,Yes,At-pub,N/A,N/A,No
2+ artifacts,YES,1712.02779,"Foolbox, IBM ART",2,Exploring the Landscape of Spatial Robustness,Logan Engstrom; Brandon Tran; Dimitris Tsipras; Ludwig Schmidt; Aleksander Madry,2017-12-07,2018-10-19,Foolbox,Foolbox:2018-10-19; IBM ART:2019-01-14,10.4,Attack/Defense/Evaluation,Evasion,Vision,ML,Yes,At-pub,White/Black,Yes,No
2+ artifacts,YES,1712.04248,"Foolbox, IBM ART",2,Decision-Based Adversarial Attacks: Reliable Attacks Against Black-Box Machine Learning Models,Wieland Brendel; Jonas Rauber; Matthias Bethge,2017-12-12,2017-12-13,Foolbox,Foolbox:2017-12-13; IBM ART:2019-04-01,0.0,Attack/Evaluation,Evasion,Vision,ML,Yes,At-pub,Black,No,Yes
2+ artifacts,YES,1712.09665,"CleverHans, IBM ART",2,Adversarial Patch,Tom B. Brown; Dandelion Mané; Aurko Roy; Martín Abadi; Justin Gilmer,2017-12-27,2018-02-05,CleverHans,CleverHans:2018-02-05; IBM ART:2019-02-13,1.3,Attack/Evaluation,Evasion,Vision,ML,No,Never,White/Black,Yes,Yes
2+ artifacts,YES,1801.01944,"CleverHans, IBM ART",2,Audio Adversarial Examples: Targeted Attacks on Speech-to-Text,Nicholas Carlini; David Wagner,2018-01-05,2019-06-05,CleverHans,CleverHans:2019-06-05; IBM ART:2020-04-17,17.0,Attack/Evaluation,Evasion,Audio,Security,Yes,At-pub,White,Yes,No
2+ artifacts,YES,1802.00420,"AutoAttack, CleverHans, IBM ART, RobustBench",4,Obfuscated Gradients Give a False Sense of Security: Circumventing Defenses to Adversarial Examples,Anish Athalye; Nicholas Carlini; David Wagner,2018-02-01,2018-10-07,CleverHans,CleverHans:2018-10-07; IBM ART:2019-04-19; RobustBench:2020-08-02; AutoAttack:2020-08-26,8.1,Attack/Evaluation,Evasion,Vision,ML,Yes,At-pub,White,Yes,No
2+ artifacts,YES,1805.12152,"RobustBench, TextAttack",2,Robustness May Be at Odds with Accuracy,Dimitris Tsipras; Shibani Santurkar; Logan Engstrom; Alexander Turner; Aleksander Madry,2018-05-30,2020-08-02,RobustBench,RobustBench:2020-08-02; TextAttack:2020-08-30,26.1,Attack/Defense/Evaluation,Evasion,Vision,ML,Yes,At-pub,White,Yes,No
2+ artifacts,YES,1810.12715,"AutoAttack, IBM ART",2,On the Effectiveness of Interval Bound Propagation for Training Verifiably Robust Models,Sven Gowal; Krishnamurthy Dvijotham; Robert Stanforth; Rudy Bunel; Chongli Qin...,2018-10-30,2020-03-25,AutoAttack,AutoAttack:2020-03-25; IBM ART:2022-08-22,16.8,Defense/Evaluation,Evasion,Vision,ML,Yes,At-pub,White,N/A,No
2+ artifacts,YES,1811.09600,"AutoAttack, Foolbox, RobustBench",3,Decoupling Direction and Norm for Efficient Gradient-Based L2 Adversarial Attacks and Defenses,Jérôme Rony; Luiz G. Hafemann; Luiz S. Oliveira; Ismail Ben Ayed; Robert Sabourin...,2018-11-23,2019-04-28,Foolbox,Foolbox:2019-04-28; AutoAttack:2020-08-04; RobustBench:2020-08-05,5.1,Attack/Defense,Evasion,Vision,ML,Yes,At-pub,White,Yes,No
2+ artifacts,YES,1901.08573,"AutoAttack, RobustBench",2,Theoretically Principled Trade-off between Robustness and Accuracy,Hongyang Zhang; Yaodong Yu; Jiantao Jiao; Eric P. Xing; Laurent El Ghaoui...,2019-01-24,2020-03-17,AutoAttack,AutoAttack:2020-03-17; RobustBench:2020-07-01,13.7,Defense,Evasion,Vision,ML,Yes,At-pub,N/A,N/A,No
2+ artifacts,YES,1901.09960,"AutoAttack, RobustBench",2,Using Pre-Training Can Improve Model Robustness and Uncertainty,Dan Hendrycks; Kimin Lee; Mantas Mazeika,2019-01-28,2020-03-17,AutoAttack,AutoAttack:2020-03-17; RobustBench:2020-07-01,13.6,Defense,Evasion,Vision,ML,Yes,At-pub,N/A,N/A,No
2+ artifacts,YES,1902.02918,"IBM ART, RobustBench",2,Certified Adversarial Robustness via Randomized Smoothing,Jeremy M Cohen; Elan Rosenfeld; J. Zico Kolter,2019-02-08,2019-07-16,IBM ART,IBM ART:2019-07-16; RobustBench:2020-08-27,5.2,Defense,Evasion,Vision,ML,Yes,At-pub,N/A,N/A,No
2+ artifacts,YES,1902.06705,"AutoAttack, IBM ART, RobustBench",3,On Evaluating Adversarial Robustness,Nicholas Carlini; Anish Athalye; Nicolas Papernot; Wieland Brendel; Jonas Rauber...,2019-02-18,2019-12-02,IBM ART,IBM ART:2019-12-02; RobustBench:2020-08-25; AutoAttack:2021-09-09,9.4,Evaluation,Evasion,Vision,arXiv-only,No,Never,White,Yes,No
2+ artifacts,YES,1904.00887,"AutoAttack, RobustBench",2,Adversarial Defense by Restricting the Hidden Space of Deep Neural Networks,Aamir Mustafa; Salman Khan; Munawar Hayat; Roland Goecke; Jianbing Shen...,2019-04-01,2020-03-17,AutoAttack,AutoAttack:2020-03-17; RobustBench:2020-07-01,11.5,Defense,Evasion,Vision,ML,Yes,At-pub,N/A,N/A,No
2+ artifacts,YES,1904.02144,"CleverHans, Foolbox, IBM ART",3,HopSkipJumpAttack: A Query-Efficient Decision-Based Attack,Jianbo Chen; Michael I. Jordan; Martin J. Wainwright,2019-04-03,2019-04-11,CleverHans,CleverHans:2019-04-11; Foolbox:2019-04-23; IBM ART:2019-06-12,0.3,Attack,Evasion,Vision,arXiv-only,Yes,At-pub,Black,No,No
2+ artifacts,YES,1904.12843,"AutoAttack, RobustBench",2,Adversarial Training for Free!,Ali Shafahi; Mahyar Najibi; Amin Ghiasi; Zheng Xu; John Dickerson...,2019-04-29,2020-03-17,AutoAttack,AutoAttack:2020-03-17; RobustBench:2020-07-01,10.6,Defense,Evasion,Vision,ML,Yes,At-pub,N/A,N/A,No
2+ artifacts,YES,1904.13000,"CleverHans, Foolbox",2,Adversarial Training and Robustness for Multiple Perturbations,Florian Tramèr; Dan Boneh,2019-04-30,2019-05-01,CleverHans,CleverHans:2019-05-01; Foolbox:2019-10-17,0.0,Attack/Defense,Evasion,Vision,ML,Yes,At-pub,White,Yes,No
2+ artifacts,YES,1905.00877,"AutoAttack, RobustBench",2,You Only Propagate Once: Accelerating Adversarial Training via Maximal Principle,Dinghuai Zhang; Tianyuan Zhang; Yiping Lu; Zhanxing Zhu; Bin Dong,2019-05-02,2020-03-17,AutoAttack,AutoAttack:2020-03-17; RobustBench:2020-07-01,10.5,Defense,N/A,Vision,ML,Yes,At-pub,N/A,N/A,No
2+ artifacts,YES,1905.05186,"AutoAttack, RobustBench",2,Harnessing the Vulnerability of Latent Layers in Adversarially Trained Models,Mayank Singh; Abhishek Sinha; Nupur Kumari; Harshitha Machiraju; Balaji Krishnamurthy...,2019-05-13,2020-03-17,AutoAttack,AutoAttack:2020-03-17; RobustBench:2020-07-01,10.2,Defense,Evasion,Vision,ML,Yes,At-pub,White,Yes,No
2+ artifacts,YES,1905.10510,"AutoAttack, RobustBench",2,Enhancing Adversarial Defense by k-Winners-Take-All,Chang Xiao; Peilin Zhong; Changxi Zheng,2019-05-25,2020-03-17,AutoAttack,AutoAttack:2020-03-17; RobustBench:2020-07-01,9.8,Defense,Evasion,Vision,ML,Yes,At-pub,N/A,N/A,No
