is_aml_paper,arxiv_id,found_in_artifacts,num_artifacts,paper_title,paper_authors,paper_pub_date,first_adoption_date,first_adoption_artifact,all_adoptions,adoption_lag_months,G1,G2,G3,G4,G5,G6,T1,T2,Q1
YES,1206.6389,IBM ART,1,Poisoning Attacks against Support Vector Machines,Battista Biggio; Blaine Nelson; Pavel Laskov,2012-06-27,2019-09-06,IBM ART,IBM ART:2019-09-06,86.3,,,,,,,,,
YES,1312.6199,"CleverHans, TextAttack",2,Intriguing properties of neural networks,Christian Szegedy; Wojciech Zaremba; Ilya Sutskever; Joan Bruna; Dumitru Erhan...,2013-12-21,2019-01-09,CleverHans,CleverHans:2019-01-09; TextAttack:2020-08-30,60.6,,,,,,,,,
YES,1412.6558,CleverHans,1,Random Walk Initialization for Training Very Deep Feedforward Networks,David Sussillo; L. F. Abbott,2014-12-19,2018-08-24,CleverHans,CleverHans:2018-08-24,44.2,,,,,,,,,
YES,1412.6572,"CleverHans, IBM ART",2,Explaining and Harnessing Adversarial Examples,Ian J. Goodfellow; Jonathon Shlens; Christian Szegedy,2014-12-20,2016-09-14,CleverHans,CleverHans:2018-07-23; CleverHans:2018-12-26; CleverHans:2016-09-14; CleverHans:2018-07-23; CleverHans:2016-09-14; CleverHans:2016-09-14; CleverHans:2019-01-23; CleverHans:2018-06-12; CleverHans:2018-12-26; CleverHans:2019-04-22; CleverHans:2018-12-26; CleverHans:2018-12-26; CleverHans:2018-12-26; CleverHans:2019-06-27; CleverHans:2016-09-14; CleverHans:2016-09-14; CleverHans:2017-03-23; IBM ART:2017-06-07,20.8,,,,,,,,,
NO - Exclude,1412.6980,"CleverHans, PyRIT",2,Adam: A Method for Stochastic Optimization,Diederik P. Kingma; Jimmy Ba,2014-12-22,2019-01-09,CleverHans,CleverHans:2019-01-09; CleverHans:2019-01-09; PyRIT:2025-09-26,48.6,,,,,,,,,
YES,1506.01497,IBM ART,1,Faster R-CNN: Towards Real-Time Object Detection with Region Proposal Networks,Shaoqing Ren; Kaiming He; Ross Girshick; Jian Sun,2015-06-04,2020-03-07,IBM ART,IBM ART:2020-03-07,57.1,,,,,,,,,
NO - Exclude,1506.02025,Foolbox,1,Spatial Transformer Networks,Max Jaderberg; Karen Simonyan; Andrew Zisserman; Koray Kavukcuoglu,2015-06-05,2020-03-30,Foolbox,Foolbox:2020-03-30,57.8,,,,,,,,,
YES,1507.00677,"CleverHans, Foolbox, IBM ART",3,Distributional Smoothing with Virtual Adversarial Training,Takeru Miyato; Shin-ichi Maeda; Masanori Koyama; Ken Nakae; Shin Ishii,2015-07-02,2017-06-12,IBM ART,CleverHans:2019-01-09; IBM ART:2017-06-12; Foolbox:2020-02-07,23.4,,,,,,,,,
YES,1511.04508,IBM ART,1,Distillation as a Defense to Adversarial Perturbations against Deep Neural Networks,Nicolas Papernot; Patrick McDaniel; Xi Wu; Somesh Jha; Ananthram Swami,2015-11-14,2020-02-20,IBM ART,IBM ART:2020-02-20,51.2,,,,,,,,,
YES,1511.04599,"CleverHans, Foolbox, IBM ART",3,DeepFool: a simple and accurate method to fool deep neural networks,Seyed-Mohsen Moosavi-Dezfooli; Alhussein Fawzi; Pascal Frossard,2015-11-14,2017-06-01,IBM ART,CleverHans:2019-01-09; IBM ART:2017-06-08; IBM ART:2017-06-01; Foolbox:2020-01-14,18.6,,,,,,,,,
YES,1511.05122,"CleverHans, IBM ART",2,Adversarial Manipulation of Deep Representations,Sara Sabour; Yanshuai Cao; Fartash Faghri; David J. Fleet,2015-11-16,2019-01-09,CleverHans,CleverHans:2019-01-09; IBM ART:2021-05-26; IBM ART:2020-04-10; IBM ART:2021-05-26; IBM ART:2019-09-03,37.8,,,,,,,,,
YES,1511.06581,CleverHans,1,Dueling Network Architectures for Deep Reinforcement Learning,Ziyu Wang; Tom Schaul; Matteo Hessel; Hado van Hasselt; Marc Lanctot...,2015-11-20,2018-01-23,CleverHans,CleverHans:2018-01-23,26.1,,,,,,,,,
YES,1511.07528,"CleverHans, IBM ART",2,The Limitations of Deep Learning in Adversarial Settings,Nicolas Papernot; Patrick McDaniel; Somesh Jha; Matt Fredrikson; Z. Berkay Celik...,2015-11-24,2016-09-14,CleverHans,CleverHans:2019-01-09; CleverHans:2016-11-18; CleverHans:2016-09-14; IBM ART:2017-06-12,9.7,,,,,,,,,
YES,1512.02595,IBM ART,1,Deep Speech 2: End-to-End Speech Recognition in English and Mandarin,Dario Amodei; Rishita Anubhai; Eric Battenberg; Carl Case; Jared Casper...,2015-12-08,2020-03-07,IBM ART,IBM ART:2020-03-07,51.0,,,,,,,,,
NO - Exclude,1512.03385,CleverHans,1,Deep Residual Learning for Image Recognition,Kaiming He; Xiangyu Zhang; Shaoqing Ren; Jian Sun,2015-12-10,2017-09-26,CleverHans,CleverHans:2017-09-26,21.6,,,,,,,,,
YES,1602.02697,CleverHans,1,Practical Black-Box Attacks against Machine Learning,Nicolas Papernot; Patrick McDaniel; Ian Goodfellow; Somesh Jha; Z. Berkay Celik...,2016-02-08,2016-09-14,CleverHans,CleverHans:2016-09-14; CleverHans:2017-02-04; CleverHans:2016-09-14,7.2,,,,,,,,,
YES,1602.07261,CleverHans,1,"Inception-v4, Inception-ResNet and the Impact of Residual Connections on Learning",Christian Szegedy; Sergey Ioffe; Vincent Vanhoucke; Alex Alemi,2016-02-23,2017-08-23,CleverHans,CleverHans:2017-08-23,18.0,,,,,,,,,
YES,1603.00892,TextAttack,1,Counter-fitting Word Vectors to Linguistic Constraints,Nikola Mrkšić; Diarmuid Ó Séaghdha; Blaise Thomson; Milica Gašić; Lina Rojas-Barahona...,2016-03-02,2019-10-31,TextAttack,TextAttack:2019-10-31,44.0,,,,,,,,,
YES,1603.05027,CleverHans,1,Identity Mappings in Deep Residual Networks,Kaiming He; Xiangyu Zhang; Shaoqing Ren; Jian Sun,2016-03-16,2017-09-26,CleverHans,CleverHans:2017-09-26,18.4,,,,,,,,,
YES,1605.07146,CleverHans,1,Wide Residual Networks,Sergey Zagoruyko; Nikos Komodakis,2016-05-23,2017-09-26,CleverHans,CleverHans:2017-09-26; CleverHans:2018-05-18,16.1,,,,,,,,,
