selection_reason,is_aml_paper,arxiv_id,found_in_artifacts,num_artifacts,paper_title,paper_authors,paper_pub_date,first_adoption_date,first_adoption_artifact,all_adoptions,adoption_lag_months,G1,G2,G3,G4,G5,G6,T1,T2,Q1
2+ artifacts,YES,1312.6199,"CleverHans, TextAttack",2,Intriguing properties of neural networks,Christian Szegedy; Wojciech Zaremba; Ilya Sutskever; Joan Bruna; Dumitru Erhan...,2013-12-21,2019-01-09,CleverHans,CleverHans:2019-01-09; TextAttack:2020-08-30,60.6,,,,,,,,,
2+ artifacts,YES,1412.6572,"CleverHans, IBM ART",2,Explaining and Harnessing Adversarial Examples,Ian J. Goodfellow; Jonathon Shlens; Christian Szegedy,2014-12-20,2016-09-14,CleverHans,CleverHans:2018-07-23; CleverHans:2018-12-26; CleverHans:2016-09-14; CleverHans:2018-07-23; CleverHans:2016-09-14; CleverHans:2016-09-14; CleverHans:2019-01-23; CleverHans:2018-06-12; CleverHans:2018-12-26; CleverHans:2019-04-22; CleverHans:2018-12-26; CleverHans:2018-12-26; CleverHans:2018-12-26; CleverHans:2019-06-27; CleverHans:2016-09-14; CleverHans:2016-09-14; CleverHans:2017-03-23; IBM ART:2017-06-07,20.8,,,,,,,,,
2+ artifacts,YES,1507.00677,"CleverHans, Foolbox, IBM ART",3,Distributional Smoothing with Virtual Adversarial Training,Takeru Miyato; Shin-ichi Maeda; Masanori Koyama; Ken Nakae; Shin Ishii,2015-07-02,2017-06-12,IBM ART,CleverHans:2019-01-09; IBM ART:2017-06-12; Foolbox:2020-02-07,23.4,,,,,,,,,
2+ artifacts,YES,1511.04599,"CleverHans, Foolbox, IBM ART",3,DeepFool: a simple and accurate method to fool deep neural networks,Seyed-Mohsen Moosavi-Dezfooli; Alhussein Fawzi; Pascal Frossard,2015-11-14,2017-06-01,IBM ART,CleverHans:2019-01-09; IBM ART:2017-06-08; IBM ART:2017-06-01; Foolbox:2020-01-14,18.6,,,,,,,,,
2+ artifacts,YES,1511.05122,"CleverHans, IBM ART",2,Adversarial Manipulation of Deep Representations,Sara Sabour; Yanshuai Cao; Fartash Faghri; David J. Fleet,2015-11-16,2019-01-09,CleverHans,CleverHans:2019-01-09; IBM ART:2021-05-26; IBM ART:2020-04-10; IBM ART:2021-05-26; IBM ART:2019-09-03,37.8,,,,,,,,,
2+ artifacts,YES,1511.07528,"CleverHans, IBM ART",2,The Limitations of Deep Learning in Adversarial Settings,Nicolas Papernot; Patrick McDaniel; Somesh Jha; Matt Fredrikson; Z. Berkay Celik...,2015-11-24,2016-09-14,CleverHans,CleverHans:2019-01-09; CleverHans:2016-11-18; CleverHans:2016-09-14; IBM ART:2017-06-12,9.7,,,,,,,,,
2+ artifacts,YES,1607.02533,"CleverHans, Foolbox, IBM ART",3,Adversarial examples in the physical world,Alexey Kurakin; Ian Goodfellow; Samy Bengio,2016-07-08,2017-05-09,IBM ART,CleverHans:2018-07-23; CleverHans:2018-12-26; CleverHans:2018-12-26; CleverHans:2018-12-26; CleverHans:2018-12-26; IBM ART:2017-05-09; IBM ART:2018-06-28; Foolbox:2019-12-11,10.0,,,,,,,,,
2+ artifacts,YES,1608.04644,"CleverHans, Foolbox, IBM ART",3,Towards Evaluating the Robustness of Neural Networks,Nicholas Carlini; David Wagner,2016-08-16,2017-11-28,IBM ART,CleverHans:2019-01-09; CleverHans:2020-04-03; CleverHans:2020-01-02; IBM ART:2017-11-28; Foolbox:2019-10-30,15.4,,,,,,,,,
2+ artifacts,YES,1611.01236,"CleverHans, IBM ART",2,Adversarial Machine Learning at Scale,Alexey Kurakin; Ian Goodfellow; Samy Bengio,2016-11-04,2017-06-07,IBM ART,CleverHans:2018-07-23; CleverHans:2018-12-26; CleverHans:2019-04-20; CleverHans:2018-12-26; CleverHans:2019-10-04; CleverHans:2019-04-22; CleverHans:2018-12-26; CleverHans:2019-07-11; CleverHans:2018-12-26; CleverHans:2020-01-02; CleverHans:2018-12-26; CleverHans:2019-06-27; CleverHans:2017-06-21; IBM ART:2023-12-08; IBM ART:2019-11-08; IBM ART:2020-02-09; IBM ART:2019-11-08; IBM ART:2019-11-08; IBM ART:2017-11-28; IBM ART:2019-11-08; IBM ART:2017-06-07; IBM ART:2019-11-08; IBM ART:2020-04-16; IBM ART:2018-09-26; IBM ART:2018-09-26; IBM ART:2018-09-26,7.1,,,,,,,,,
2+ artifacts,YES,1705.07204,"CleverHans, IBM ART",2,Ensemble Adversarial Training: Attacks and Defenses,Florian Tramèr; Alexey Kurakin; Nicolas Papernot; Ian Goodfellow; Dan Boneh...,2017-05-19,2017-06-21,CleverHans,CleverHans:2017-06-21; IBM ART:2018-02-23,1.1,,,,,,,,,
