Model_1,Model_2,Type,Column,Kappa,CI_Lower,CI_Upper
GPT-4o,GPT-4o,Intra-rater,G1,0.9851887907655936,,
GPT-4o,GPT-4o,Intra-rater,G2,0.8409557588202353,,
GPT-4o,GPT-4o,Intra-rater,G3,1.0,,
GPT-4o,GPT-4o,Intra-rater,G4,0.9645413684035293,,
GPT-4o,GPT-4o,Intra-rater,G5,0.9574425574425571,,
GPT-4o,GPT-4o,Intra-rater,G6,0.9379129420909446,,
GPT-4o,GPT-4o,Intra-rater,T1,0.9818212853119397,,
GPT-4o,GPT-4o,Intra-rater,T2,0.9621501554864501,,
GPT-4o,GPT-4o,Intra-rater,Q1,0.8298722044728436,,
GPT-4o,GPT-5.2,Inter-rater,G1,0.4199642583609905,0.29033329108681244,0.5322326010405205
GPT-4o,GPT-5.2,Inter-rater,G2,0.37933187636590704,0.2439168990292687,0.534005349275492
GPT-4o,GPT-5.2,Inter-rater,G3,0.77602523659306,0.5983591815565819,0.9389665758035893
GPT-4o,GPT-5.2,Inter-rater,G4,0.8677839851024208,0.7610321615557218,0.9501077278190178
GPT-4o,GPT-5.2,Inter-rater,G5,0.7678654834189631,0.5792626533192053,0.9194930703683987
GPT-4o,GPT-5.2,Inter-rater,G6,0.7462019660411081,0.5627646117804564,0.9026564679821384
GPT-4o,GPT-5.2,Inter-rater,T1,0.7514005602240896,0.6085147068241006,0.8785619812606767
GPT-4o,GPT-5.2,Inter-rater,T2,0.7373288938216797,0.5683175347222225,0.8702825596427778
GPT-4o,GPT-5.2,Inter-rater,Q1,0.4180327868852459,0.1072547281323878,0.6917566574896955
GPT-4o,Gemini-3,Inter-rater,G1,0.5698211194460473,0.4369670056607057,0.7073181187167706
GPT-4o,Gemini-3,Inter-rater,G2,0.31798608810864526,0.13314708277772888,0.4766039070711157
GPT-4o,Gemini-3,Inter-rater,G3,0.812293456708526,0.6521271905948869,0.9559708247015882
GPT-4o,Gemini-3,Inter-rater,G4,0.4357290946786454,0.279890418454297,0.5968356408398622
GPT-4o,Gemini-3,Inter-rater,G5,0.7258687258687259,0.5442875481386392,0.8973493975903615
GPT-4o,Gemini-3,Inter-rater,G6,0.6697674418604651,0.5016228022855815,0.8440668377153779
GPT-4o,Gemini-3,Inter-rater,T1,0.7239307175680453,0.575959549915443,0.8628979530961537
GPT-4o,Gemini-3,Inter-rater,T2,0.7623651915210115,0.6152282087645214,0.8984272311995838
GPT-4o,Gemini-3,Inter-rater,Q1,0.3908484270734033,0.050564651089694504,0.6587950650118202
GPT-4o,Sonnet-4.5,Inter-rater,G1,0.6865803413772807,0.5643836715431806,0.8139567023702391
GPT-4o,Sonnet-4.5,Inter-rater,G2,0.32752826153376113,0.19316974729340097,0.4840157782852874
GPT-4o,Sonnet-4.5,Inter-rater,G3,0.8202531645569621,0.6691966422299854,0.9533601953601953
GPT-4o,Sonnet-4.5,Inter-rater,G4,0.6257905832747717,0.47331849373165075,0.776338816940847
GPT-4o,Sonnet-4.5,Inter-rater,G5,0.4427001569858713,0.23473053892215578,0.6525285481239804
GPT-4o,Sonnet-4.5,Inter-rater,G6,0.42422706538266597,0.20933112523440356,0.6203545748995545
GPT-4o,Sonnet-4.5,Inter-rater,T1,0.7713365539452496,0.6073744941061525,0.9142186475295394
GPT-4o,Sonnet-4.5,Inter-rater,T2,0.7652892561983471,0.6045526859929224,0.9031927704648293
GPT-4o,Sonnet-4.5,Inter-rater,Q1,0.5764354958985831,0.3089679750996531,0.8016897885186972
GPT-4o,Human,Inter-rater,G1,0.32842879663688906,0.20076963659407415,0.4693149830124327
GPT-4o,Human,Inter-rater,G2,0.24668435013262602,0.12039413535159116,0.36468280035867445
GPT-4o,Human,Inter-rater,G3,0.774746192893401,0.5637350340661037,0.9458691972362044
GPT-4o,Human,Inter-rater,G4,0.19709208400646216,0.09972159660611357,0.3119748894170183
GPT-4o,Human,Inter-rater,G5,0.4802342606149341,0.23728604880712356,0.6878226078011697
GPT-4o,Human,Inter-rater,G6,0.42054728756601056,0.19747390022745284,0.6342851999761663
GPT-4o,Human,Inter-rater,T1,0.47488443759630206,0.31217674620856783,0.6333128583329345
GPT-4o,Human,Inter-rater,T2,0.43805918788713005,0.27310452330398066,0.6002406768152551
GPT-4o,Human,Inter-rater,Q1,0.22770123277737486,0.050743425767682926,0.39876944031069295
GPT-5.2,GPT-5.2,Intra-rater,G1,0.9065225739206757,,
GPT-5.2,GPT-5.2,Intra-rater,G2,0.9495698839870571,,
GPT-5.2,GPT-5.2,Intra-rater,G3,1.0,,
GPT-5.2,GPT-5.2,Intra-rater,G4,0.9469709543568465,,
GPT-5.2,GPT-5.2,Intra-rater,G5,1.0,,
GPT-5.2,GPT-5.2,Intra-rater,G6,1.0,,
GPT-5.2,GPT-5.2,Intra-rater,T1,0.9526946994373705,,
GPT-5.2,GPT-5.2,Intra-rater,T2,0.9661151765828823,,
GPT-5.2,GPT-5.2,Intra-rater,Q1,0.902143950995406,,
GPT-5.2,Gemini-3,Inter-rater,G1,0.4660315868638757,0.34114676269303823,0.5915856106001561
GPT-5.2,Gemini-3,Inter-rater,G2,0.6628926223520819,0.49079157666796824,0.8095110274717567
GPT-5.2,Gemini-3,Inter-rater,G3,0.7743165924984107,0.5942486965589155,0.9321968614709779
GPT-5.2,Gemini-3,Inter-rater,G4,0.5382947976878613,0.36511057556601745,0.7067659164465532
GPT-5.2,Gemini-3,Inter-rater,G5,0.8865210442194992,0.7380073800738007,1.0
GPT-5.2,Gemini-3,Inter-rater,G6,0.8179487179487179,0.6480936737103401,0.9587449157466589
GPT-5.2,Gemini-3,Inter-rater,T1,0.8348288467929544,0.7248062015503876,0.9348449471563547
GPT-5.2,Gemini-3,Inter-rater,T2,0.8991835285764999,0.7913241485948473,0.9766859444927396
GPT-5.2,Gemini-3,Inter-rater,Q1,0.7338830584707646,0.5084331148804935,0.9268925895972991
GPT-5.2,Sonnet-4.5,Inter-rater,G1,0.36810877626699623,0.2444195663574887,0.47910932305649845
GPT-5.2,Sonnet-4.5,Inter-rater,G2,0.7851739788199698,0.6318286701799278,0.9136067872926282
